TRIMESTRE,Año,Trimestre,PET,PEA,Empleo,Desempleo,Tasa_Empleo,Tasa_Desempleo,EXPORTACIONES,EXP_PETROLERAS,EXP_NO_PETROLERAS,IMPORTACIONES,BALANZA_COMERCIAL,TASA_CREC_EXPORT,TASA_CREC_EXPORT_PET,TASA_CREC_EXPORT_NO_PET,IPC,SALARIO_REAL,TCER
2008Q2,2008,Q2,9.513649,6.589368,6.245225,0.344143,65.6,5.2,5496.77,3756.97,1739.8,4219.79,1276.98,10.2667,99.213,19.6944,116.77,197.37,106.3009
2008Q3,2008,Q3,9.581322,6.487394,6.12531,0.362084,63.9,5.6,5178,3420.6,1757.4,5133.79,44.21,-6.678,46.1052,19.8384,118.88,217.5,103.5527
2008Q4,2008,Q4,9.648996,6.385421,6.005395,0.380026,62.2,6,3213.15,1531.11,1682.03,4711.94,-1498.79,-16.1869,-41.4054,3.3056,119.51,222.36,95.3125
2009Q1,2009,Q1,9.744926,6.4263,6.03533,0.39097,61.9,6.1,2663.58,1011.88,1651.7,3423.12,-759.54,4.1384,-65.2272,-0.422,121.34,179.67,92.5683
2009Q2,2009,Q2,9.840856,6.467179,6.065265,0.401914,61.6,6.2,3296.04,1677.32,1618.72,3177.54,118.5,5.6419,-55.3223,-6.7989,123.17,176.99,94.3342
2009Q3,2009,Q3,9.936786,6.508058,6.0952,0.412858,61.4,6.4,3784.9,2070.21,1714.7,3503.66,281.24,1.4625,-39.1679,-2.1665,123.03,236.45,97.8462
2009Q4,2009,Q4,10.032716,6.548937,6.125135,0.423802,61.1,6.5,4054.48,2205.19,1849.29,3993.23,61.25,7.0497,60.0175,10.2182,124.22,196.81,99.1469
2010Q1,2010,Q1,10.090051,6.565698,6.149638,0.41606,61,6.4,4135.35,2241.5,1893.85,4066.82,68.53,1.6963,121.3526,14.8467,126.23,190.13,95.3768
2010Q2,2010,Q2,10.147386,6.58246,6.174141,0.408318,60.8,6.2,4406.86,2432.14,1974.73,4781.15,-374.29,-0.5231,47.3354,21.708,127.17,188.72,93.4374
2010Q3,2010,Q3,10.219443,6.509358,6.143686,0.365672,60.1,5.6,4118.61,2230.42,1888.19,5190.78,-1072.17,-1.6892,9.3073,8.5664,127.4,251.21,95.3185
2010Q4,2010,Q4,10.2915,6.436257,6.11323,0.323027,59.4,5,4829.1,2769.17,2059.93,5429.9,-600.8,8.0345,25.899,9.47,128.44,248.41,96.864
2011Q1,2011,Q1,10.383742,6.495023,6.168907,0.326116,59.4,5,5344.03,3104,2240.02,5046.4,297.62,6.129,38.587,18.2871,130.49,202.31,96.1191
2011Q2,2011,Q2,10.475984,6.553789,6.224584,0.329205,59.4,5,5703.98,3328.76,2375.22,5784.35,-80.37,-2.4758,41.1476,20.4102,132.43,199.36,97.9469
2011Q3,2011,Q3,10.504494,6.567705,6.264709,0.302996,59.6,4.6,5602.35,3307.03,2295.33,5894.93,-292.58,0.1524,48.3272,21.5845,133.63,263.49,97.4396
2011Q4,2011,Q4,10.533003,6.581621,6.304834,0.276787,59.9,4.2,5672,3205.08,2466.92,6283.87,-611.87,2.1368,16.3224,19.7437,135.47,259.1,94.1801
2012Q1,2012,Q1,10.60318,6.726232,6.446552,0.279679,60.8,4.2,6205.42,3802.15,2403.27,5762.49,442.93,1.5026,25.4206,7.2207,137.86,211.81,93.4943
2012Q2,2012,Q2,10.673358,6.870842,6.588271,0.282571,61.7,4.1,6050.9,3603.42,2447.49,6088.27,-37.37,-3.3624,8.9171,3.3683,139.17,209.82,92.4133
2012Q3,2012,Q3,10.768752,6.785928,6.506556,0.279372,60.4,4.1,5907.2,3371.9,2535.3,6320.14,-412.94,3.9583,2.6313,10.4542,140.39,277.52,91.5935
2012Q4,2012,Q4,10.864147,6.701014,6.42484,0.276174,59.1,4.1,5601.24,3014.49,2586.75,6034.47,-433.23,0.5041,-5.8022,4.8652,141.74,274.13,91.762
2013Q1,2013,Q1,10.928843,6.85038,6.575318,0.275062,60.2,4,6194.05,3520.1,2673.95,6311.63,-117.59,2.5953,-6.757,11.2549,95.26,333.82,92.8542
2013Q2,2013,Q2,10.993539,6.999745,6.725795,0.273951,61.2,3.9,5952.04,3236.18,2715.86,6634.17,-682.13,-3.227,-8.5267,11.1162,95.58,332.69,91.275
2013Q3,2013,Q3,11.096955,6.976366,6.695018,0.281348,60.4,4,6404.53,3951.25,2453.28,6592.72,-188.19,3.3651,18.0228,-3.0935,95.7,443.22,91.5682
2013Q4,2013,Q4,11.200371,6.952986,6.664241,0.288745,59.5,4.2,6297.23,3400.2,2897.03,6350.32,-53.09,0.1333,13.0121,12.7169,96.83,436.87,91.9815
2014Q1,2014,Q1,11.238681,7.04841,6.706314,0.342096,59.7,4.9,6654.86,3547.44,3107.42,6158.63,496.23,4.6636,0.7068,17.2775,98.08,346.65,90.642
2014Q2,2014,Q2,11.236793,6.967747,6.643458,0.324289,59.1,4.7,6784.8,3682.77,3102.03,6571.66,213.13,1.2283,13.3496,15.8005,98.87,343.88,92.833
2014Q3,2014,Q3,11.270069,7.145197,6.866776,0.278421,60.9,3.9,6525.66,3458.6,3067.06,6674.55,-148.88,-2.8746,-12.2195,25.7792,99.67,455,92.6685
2014Q4,2014,Q4,11.159255,7.194521,6.921107,0.273414,62,3.8,5759.12,2587.05,3172.07,7042.76,-1283.64,-7.1461,-23.269,10.3464,100.51,450.29,89.6386
2015Q1,2015,Q1,11.201636,7.374083,7.091116,0.282967,63.3,3.8,4870.38,1747.91,3122.46,5787.74,-917.36,1.2154,-50.4465,0.791,101.79,347.77,85.788
2015Q2,2015,Q2,11.282084,7.430701,7.098584,0.332117,62.9,4.5,4934.24,2055.34,2878.9,5251.55,-317.31,-0.8991,-42.8081,-7.1177,103.4,342.37,85.5412
2015Q3,2015,Q3,11.318398,7.599717,7.274221,0.325496,64.3,4.3,4437.93,1702.22,2735.7,4916.18,-478.26,-5.6073,-50.7063,-10.6663,103.75,455.05,83.6312
